# City : Real Name : pref. language : local language : area/continent : coord : population : step?
#:::::::
Ruegen:Stralsund/Rügen::de::12.904 54.199 13.81 54.708:221436:
Sacramento::en::other:-121.625 38.374 -121.154 38.738:2100000:
Saigon:vi!Thành phố Hồ Chí Minh::vi:other:106.5444 10.6564 106.8545 10.8931:71000000:
SanFrancisco:en!San Francisco,de!San Franzisko:en::other:-122.527 37.594 -122.351 37.811:800000:
Berkeley::en::other:-122.395 37.698 -121.999 38.063:110000:
SanJose:San José:en::other:-122.081 37.21 -121.707 37.46:1477640:
SanktPetersburg:de!Sankt Petersburg,en!Saint Petersburg,ru!Санкт-Петербург::ru:eu:30.151 59.865 30.502 60.016:4600000:
SantaBarbara:Santa Barbara:en::other:-119.9402 34.39 -119.5399 34.4735:200000:
SantaCruz:Santa Cruz:en::other:-122.14 36.9346 -121.8396 37.0701:54000:
Santiago:Santiago de Chile::es:other:-70.813 -33.619 -70.495 -33.357:5400000:
Sarajewo:en!Sarajevo,de!Sarajewo::hr:eu:18.242 43.768 18.515 43.935:305000:
Seattle::en::other:-122.4612 47.5219 -122.1851 47.6823:2700000:
Seoul:ko!서울::ko:other:126.755 37.442 127.252 37.635:24000000:
Sheffield::en::eu:-1.579 53.312 -1.308 53.45:640000:
Singapore:en!Singapore,de!Singapur,zh!新加坡共和国::zh:other:103.6033 1.2385 104.028 1.4804:5000000:
Sofia:bg!София::bg:eu:23.2146 42.6445 23.4244 42.7505:1397000:
Strassburg:de!Straßburg,en!Strasbourg::de:eu:7.6515 48.5189 7.875 48.6525:461328:
Sydney::en::other:150.827 -34.058 151.328 -33.681:4300000:
Szczecin:de!Stettin,pl!Szczecin::pl:eu:14.4419 53.3575 14.7299 53.4764:410623:
Tallin:de!Reval,en!Tallin,et!Tallin::et:eu:24.444 59.287 25.088 59.577:403505:
Tehran:de!Teheran,fa!‏تهران‎::fa:other:51.2734 35.6007 51.5549 35.807:13000000:
Tokyo:de!Tokio,ja!東京::ja:other:139.6165 35.5591 139.9478 35.7836:28000000:
Toronto::en::other:-79.674 43.602 -79.077 43.849:2500000:
Trondheim:::no:eu:10.139 63.304 10.689 63.466:260000:
Turin:en!Turin,it!Torino::it:eu:7.43 44.941 7.929 45.21:891314:
LakeGarda:en!Lake Garda,de!Gardasee,it!Lago di Garda::it:eu:10.36 45.318 11.196 46.138:270000:
Tuscon::en::other:-111.108 32.114 -110.704 32.335:524527:
UlanBator:Ulan Bator,mn!Улаанбаатар::mn:other:106.8392 47.8995 107.0167 47.9337:1100000:
Vancouver::en::other:-123.2871 49.1809 -122.9818 49.3422:2182000:
Victoria::en::other:-123.578 48.392 -123.25 48.702:300000:
WarenMueritz:Waren (Müritz)::de::12.371 53.313 13.002 53.622:23386:
Warsaw:de!Warschau,en!Warsaw,pl!Warszawa::pl:eu:20.834 52.097 21.275 52.372:3500000:
WashingtonDC:Washington D.C.:en::other:-77.1703 38.8096 -76.8778 38.9825:5300000:0.01
Wien:en!Vienna,de!Wien::de:eu:16.2256 48.1187 16.581 48.3108:3114739:
Linz:::de:eu:14.109 48.18 14.507 48.359:189000:
Graz:de!Graz,hr!Gradac,en!Graz::de:eu:15.25 46.959 15.606 47.168:258000:
Innsbruck:::de:eu:11.197 47.227 11.62 47.306:120000:
Wroclaw:de!Breslau,en!Wroclaw,pl!Wrocław::pl:eu:16.803 50.998 17.278 51.216:680000:
Zagreb:de!Agram,en!Zagreb::hr:eu:15.8046 45.7234 16.1603 45.9016:1106000:
Zuerich:de!Zürich,en!Zurich::de:eu:8.292 47.173 8.803 47.578:486697:
:::::::
#:::::::
# orginal BBBike version:::::::
bbbike:::de::13.087947 52.349205 13.749353 52.655108:4500000:
#:::::::
dummy::en::other:44 33.2 44.5259 33.4238:6500000:
#:::::::
